titulo,genero
Florenzer,Ficción histórica
Te receto otro gato , Literatura asiática
El secreto de la biblioteca , Ficción histórica
AL FINAL EL SUPERVIVIENTE QUIERE MORIR,Distopía
El último día, Fantasía
El regreso del último reino,Fantasía
El espejo de las bestias,Fantasía
Labremos sombras de oro,Fantasía
El susurro de las estrellas,Ficción histórica
La cabina de los últimos pensamientos, Ficción contemporánea
La biblioteca de los sabores, Ficción contemporánea
Henry Henry,Ficción Contemporánea
El príncipe cautivo, Fantasía
La leyenda de la serpiente blanca, Fantasía
El arte de ahorgarse, Fantasía
